,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.166667,2.0,0.333333,0.0,0.0,0.0,0.0,5.0,0.75,5.0,1.5,11.0,1.14286,18.0,1.30769,3.0,0.333333,4.0,1.0,8.0,1.0,4.0,2.0,8.0,1.66667,7.0,2.16667,7.0,2.16667,4.0,1.16667,2.0,0.125,9.0,0.838889,6.0,1.33333,6.0,1.33333,6.0,1.33333,3.0,1.0,4.0,0.166667,4.0,0.5,4.0,0.333333,3.0,0.5,6.0,0.666667,6.0,0.666667,5.0,1.0,3.0,0.5,4.0,0.666667,4.0,1.33333,4.0,1.33333,13.0,0.62,9.0,0.95,6.0,0.225,4.0,0.133333,4.0,0.133333,6.0,0.466667,4.0,0.2,1.0,0.0,1.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.333333,8.0,0.571429,8.0,1.33333,3.0,0.571429,9.0,0.615385,4.0,2.33333,4.0,0.666667,0.0,0.0,0.0,0.0,3.0,0.666667,4.0,0.833333,4.0,0.833333,7.0,1.33333,11.0,1.5,9.0,0.75,2.0,0.166667,5.0,1.41667,5.0,1.41667,2.0,0.333333,11.0,1.0,2.0,0.166667,3.0,0.277778,3.0,0.666667,5.0,0.5,5.0,0.5,2.0,0.5,3.0,0.5,2.0,0.333333,1.0,0.333333,1.0,0.333333,9.0,0.6,6.0,0.333333,6.0,0.45,6.0,0.45,7.0,0.633333,6.0,0.45,6.0,0.45,1.0,0.25,1.0,0.25
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.125,4.0,0.0833333,4.0,0.166667,10.0,0.714286,15.0,0.615385,0.0,0.0,2.0,0.833333,5.0,0.333333,0.0,0.0,7.0,0.666667,6.0,0.666667,6.0,0.666667,7.0,1.0,3.0,0.333333,6.0,0.466667,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.666667,4.0,0.25,7.0,0.833333,8.0,0.555556,1.0,0.5,4.0,0.5,4.0,0.5,5.0,0.75,5.0,0.833333,3.0,0.166667,1.0,0.0,1.0,0.0,6.0,0.3125,2.0,0.0,7.0,0.5625,5.0,0.75,6.0,0.666667,5.0,0.583333,3.0,0.5,2.0,0.5,2.0,0.5
13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.166667,2.0,0.333333,0.0,0.0,5.0,0.444444,7.0,0.5,7.0,1.16667,9.0,0.857143,15.0,0.846154,3.0,1.33333,6.0,1.0,13.0,1.66667,5.0,1.33333,4.0,0.833333,3.0,0.5,3.0,0.5,6.0,0.666667,10.0,0.916667,10.0,0.875,4.0,0.666667,1.0,0.166667,1.0,0.166667,2.0,0.333333,10.0,1.0,2.0,0.333333,2.0,0.222222,4.0,0.666667,5.0,0.416667,5.0,0.416667,7.0,1.5,8.0,1.5,5.0,1.0,2.0,1.0,2.0,1.0,8.0,1.0,5.0,0.444444,6.0,0.966667,4.0,0.466667,4.0,0.466667,4.0,0.466667,4.0,0.7,1.0,0.5,1.0,0.5
14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.416667,3.0,0.833333,1.0,0.0833333,2.0,0.125,4.0,0.583333,4.0,1.16667,5.0,0.428571,8.0,1.31667,4.0,1.33333,6.0,2.0,9.0,1.5,3.0,2.33333,3.0,0.5,3.0,0.833333,3.0,0.833333,2.0,0.333333,1.0,0.125,7.0,0.416667,5.0,0.5,1.0,0.25,1.0,0.25,1.0,0.333333,4.0,0.333333,3.0,0.166667,3.0,0.111111,0.0,0.0,4.0,0.333333,4.0,0.333333,2.0,0.25,9.0,1.5,6.0,1.5,3.0,1.0,3.0,1.0,11.0,0.7875,2.0,0.225,3.0,0.65,1.0,0.1,5.0,0.466667,1.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0
15,2.0,1.25,2.0,1.25,2.0,1.25,3.0,0.5,1.0,0.166667,0.0,0.0,3.0,0.125,6.0,0.472222,6.0,0.833333,4.0,0.428571,8.0,0.461538,2.0,1.0,6.0,1.16667,11.0,1.5,3.0,0.666667,5.0,0.833333,3.0,0.5,3.0,0.5,6.0,0.666667,7.0,0.583333,5.0,0.611111,2.0,0.666667,2.0,0.666667,2.0,0.666667,0.0,0.0,0.0,0.0,4.0,0.666667,4.0,0.444444,5.0,2.0,10.0,0.833333,10.0,0.833333,5.0,1.25,4.0,0.666667,9.0,2.33333,4.0,2.33333,4.0,2.33333,8.0,0.8,6.0,0.75,2.0,0.0,4.0,0.5,2.0,0.0,3.0,0.166667,2.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,1.0,0.666667,1.0,0.666667,1.0,0.0833333,1.0,0.166667,0.0,0.0,7.0,1.0,9.0,1.0,9.0,1.83333,6.0,0.428571,12.0,1.0,1.0,0.333333,5.0,2.0,9.0,1.88889,4.0,2.66667,3.0,0.333333,6.0,0.833333,6.0,0.833333,1.0,0.166667,6.0,0.5,10.0,0.6875,4.0,0.5,3.0,1.41667,3.0,1.41667,1.0,0.333333,0.0,0.0,1.0,0.166667,1.0,0.111111,5.0,0.333333,9.0,0.916667,9.0,0.916667,7.0,1.25,7.0,1.66667,6.0,1.5,4.0,2.33333,4.0,2.33333,10.0,0.866667,7.0,0.825,6.0,0.466667,6.0,0.8,7.0,0.688889,4.0,0.133333,4.0,0.2,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,1.0,0.0833333,2.0,0.25,3.0,0.277778,3.0,0.833333,9.0,0.714286,13.0,0.615385,1.0,0.333333,3.0,0.5,8.0,1.0,2.0,0.666667,8.0,1.33333,4.0,0.333333,4.0,0.333333,5.0,0.5,2.0,0.291667,10.0,0.75,5.0,0.833333,3.0,0.75,3.0,0.75,0.0,0.0,2.0,0.166667,0.0,0.0,0.0,0.0,5.0,2.0,7.0,0.75,7.0,0.75,2.0,0.5,15.0,2.5,4.0,1.0,2.0,0.666667,2.0,0.666667,10.0,0.6,9.0,0.925,4.0,0.2,4.0,0.3,4.0,0.3,4.0,0.3,4.0,0.3,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.333333,2.0,0.666667,0.0,0.0,9.0,0.666667,4.0,0.142857,4.0,0.333333,8.0,0.714286,14.0,0.692308,4.0,0.666667,3.0,0.5,5.0,0.555556,2.0,0.666667,5.0,0.5,8.0,2.0,8.0,2.0,6.0,0.5,8.0,0.583333,6.0,0.25,2.0,0.0,3.0,0.75,3.0,0.75,2.0,1.0,2.0,0.166667,0.0,0.0,3.0,0.166667,3.0,0.444444,6.0,0.666667,6.0,0.666667,8.0,2.0,7.0,1.33333,11.0,2.33333,2.0,1.33333,2.0,1.33333,13.0,0.8,2.0,0.1,10.0,3.06667,6.0,2.8,3.0,2.4,7.0,2.84444,3.0,3.6,1.0,3.5,1.0,3.5
19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.916667,7.0,1.83333,0.0,0.0,2.0,0.375,7.0,0.722222,7.0,1.33333,4.0,0.428571,8.0,0.461538,2.0,1.0,6.0,1.16667,8.0,0.666667,2.0,0.666667,8.0,1.33333,4.0,0.833333,4.0,0.833333,5.0,1.0,3.0,0.291667,7.0,0.35,3.0,0.333333,0.0,0.0,0.0,0.0,1.0,0.333333,9.0,1.0,0.0,0.0,1.0,0.166667,2.0,0.333333,4.0,0.333333,4.0,0.333333,3.0,0.5,8.0,1.83333,11.0,2.0,9.0,3.33333,9.0,3.33333,15.0,1.03333,12.0,1.475,6.0,0.233333,4.0,0.0666667,10.0,1.17778,7.0,0.622222,4.0,0.1,0.0,0.0,0.0,0.0
